"tf","gene","Gain","Cover","Frequency","Cor"
"BARHL2","THAP11",0.014594975465927,0.032,0.032,-0.112365678985922
"BATF","TP53",0.312442078603028,0.088,0.088,0.553266484360125
"BATF","GPX1",0.286379935329435,0.07,0.07,0.592230262978001
"BATF","STAT5B",0.264970982504578,0.052,0.052,0.565602345581272
"BATF","ATF5",0.203507074481947,0.066,0.066,0.519293633428339
"BATF","GPATCH4",0.202866462548339,0.088,0.088,0.587351812281456
"BATF","PSAT1",0.196809924366382,0.04,0.04,0.473023291205761
"BATF","HILPDA",0.189612990442274,0.048,0.048,0.309200526351255
"BATF","NR5A2",0.148570295689323,0.04717877960935,0.04717877960935,0.274039182727478
"BATF","ENO1",0.141824047858949,0.058,0.058,0.63594095719115
"BATF","CCT6A",0.137420145862451,0.054,0.054,0.623126646543851
